Part Number ,Description ,Type,Supplier name ,UOM ,,
ING000394,Leek Sliced 5mm kg,FRESH,Gradegold Catering,Kg,,
ING000401,Chilli Red,FRESH,Gradegold Catering,Kg,,
ING000412,Spring Onion (90g 1each),FRESH,Gradegold Catering,Kg,,
ING000415,Tomato Cherry Red Loose 3kg,FRESH,Gradegold Catering,Kg,,
ING000418,Mint Fresh Kg,FRESH,Gradegold Catering,Kg,,
ING000430,Mushroom Button (3KG),FRESH,Gradegold Catering,Kg,,
ING000438,Butternut Squash Diced 20mm,FRESH,Gradegold Catering,Kg,,
ING000444,Lemon Grass Bunch,FRESH,Gradegold Catering,Kg,,
ING000445,Orange Zest kg,FRESH,Gradegold Catering,Kg,,
ING000449,Mushroom Wild Mix kg,FRESH,Gradegold Catering,Kg,,
ING000455,Spinach Baby Leaf 1kg,FRESH,Gradegold Catering,Kg,,
ING000460,Pepper Red Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING000471,Potato Sweet Diced 20mm 1KG,FRESH,Gradegold Catering,Kg,,
ING000490,Carrot Julienne 2mm x 50mm kg,FRESH,Gradegold Catering,Kg,,
ING000506,Tarragon 100gm,FRESH,Gradegold Catering,Kg,,
ING000546,Onion Red Fine Diced 5mm kg,FRESH,Gradegold Catering,Kg,,
ING000670,Pepper Green Julienne 2mm 1KG,FRESH,Gradegold Catering,Kg,,
ING000676,Cabbage White Fine Sliced 1kg,FRESH,Gradegold Catering,Kg,,
ING000809,Potato Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING000876,Samphire Fresh,FRESH,Gradegold Catering,Kg,,
ING001036,Onion Red Sliced 2-3mm 1kg,FRESH,Gradegold Catering,Kg,,
ING001056,Potato Fondant 80gm Each,FRESH,Gradegold Catering,Kg,,
ING001093,Pepper Green Diced 30mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001096,Cauliflower Floret 10gm 1kg,FRESH,Gradegold Catering,Kg,,
ING001126,Potato Jacket 80 Each 15kg,FRESH,Gradegold Catering,Kg,,
ING001136,Cucumber Diced Deseeded 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001222,Carrot Diced 5mm 1kg,FRESH,Gradegold Catering,Kg,,
ING001229,Cabbage Red Shredded 2-3mm kg,FRESH,Gradegold Catering,Kg,,
ING001256,Broccoli Floret 10-15gm FC,FRESH,Gradegold Catering,Kg,,
ING001259,Pepper Yellow Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001311,Pepper Red Diced 20mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001312,Onion Red Diced 20mm kg,FRESH,Gradegold Catering,Kg,,
ING001325,Garlic Fine Chopped  2mm,FRESH,Gradegold Catering,Kg,,
ING001344,Onion Red Diced 10MM (1KG),FRESH,Gradegold Catering,Kg,,
ING001358,Coriander Chopped 1kg,FRESH,Gradegold Catering,Kg,,
ING001374,Courgette Green Diced 20mm kg,FRESH,Gradegold Catering,Kg,,
ING001402,Cucumber Slice 10gm 1KG,FRESH,Gradegold Catering,Kg,,
ING001406,Aubergine Diced 20mm,FRESH,Gradegold Catering,Kg,,
ING001446,Brussel Sprouts Prepared kg,FRESH,Gradegold Catering,Kg,,
ING001454,Mushroom Button Cut 1/4 (1KG),FRESH,Gradegold Catering,Kg,,
ING001458,Pepper Red Diced 30mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001485,Ginger Julienne kg,FRESH,Gradegold Catering,Kg,,
ING001504,Courgette Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001507,Pepper Green Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001518,Coriander Fresh kg,FRESH,Gradegold Catering,Kg,,
ING001578,Tomato Diced Deseeded 5-8mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001706,Onion White Sliced 2 - 4 mm,FRESH,Gradegold Catering,Kg,,
ING001753,Chilli Red Chopped 2mm kg,FRESH,Gradegold Catering,Kg,,
ING001756,Spinach Washed 3KG,FRESH,Gradegold Catering,Kg,,
ING001815,Onion Diced 20mm kg,FRESH,Gradegold Catering,Kg,,
ING001832,Mushroom Button Sliced 2mm,FRESH,Gradegold Catering,Kg,,
ING001833,Celery Diced 10mm,FRESH,Gradegold Catering,Kg,,
ING001913,Spring Onion Chopped 2mm-5mm,FRESH,Gradegold Catering,Kg,,
ING001981,Pumpkin Diced 20mm,FRESH,Gradegold Catering,Kg,,
